Name,Unlock requirement,Request ID,Byte,Mask,Prog,Item Requirements,objective,Reward,APID,Region Connect,Additional Info,Internal Name,Include
First Task!,,,,,,,Check the order symbol and follow Arthur's instructions.,4 Turnip Seeds +  and a festival of your choosing.,1C4200,,Completed by default in AP,,FALSE
How to place furniture!,Complete First Task!,,,,,,Move the storage box provided into your room.,Storage Box and Calendar,1C4201,,Completed by default in AP,,FALSE
Make Lumber,Complete How to place furniture!,17,144,8,,,Break a piece of wood with your axe.,A Cheep Axe and a Lumber/Stone Box,1C4202,How to place furniture!,Accepting request gives a Cheap Axe,Request: Use Lumber!,TRUE
Give an item!,Complete Make a shipment!,,,,,,Give a Turnip to Clorica,Cheap Sickle,1C4203,Make a shipment!,,,TRUE
Purchase Rice!,Complete Give an item!,20,144,20,,,Buy rice from the General Store.,4 Toyherb Seeds,1C4204,Give an item!,,Request: Buy Food!,TRUE
Make Material Stone!,Complete Purchase Rice!,21,144,10,,,Break apart a stone with your hammer.,Cheap Hammer and 4 stones.,1C4205,Purchase Rice!,Accepting request gives a Cheap Hammer,Request: Use Material Stone!,TRUE
Try Fishing!,Complete Make Material Stone!,,,,,,Catch a fish and give it to Vishnal.,Cheap Rod and 300G,1C4206,Make Material Stone!,Accepting request gives a Cheap Rod,,TRUE
Use a Fertilizer Bin!,Complete Try fishing!,23,144,40,,,Put a grass item into your fertilizer bin.,Fertilizer Bin and 3 Withered Grass.,1C4207,Try Fishing!,,Request: Use Fertilizer Bin!,TRUE
Mine Iron!,Complete Use a Fertilizer Bin!,24,146,1,,,Mine a piece of Iron from a mineral.,Amethyst,1C4208,Use a Fertilizer Bin!,,Request: Iron Mining!,TRUE
Raise friendship levels! (1),Complete Mine Iron!,96,,,,,Raise the FP or LP of everyone in town to 1.,Greeting Magic,1C4209,Mine Iron!,does not include Raven +  Barrett +  and people not yet unlocked.,Request: Raise Friendship Lv!,TRUE
Look at illustrations!,Complete Raise friendship levels! (1),109,146,80,,,Check the illustrations in your trophy room.,Leveliser,1C420A,Raise friendship levels! (1),,Request: Check Illustrations!,TRUE
Check difficulty level!,Complete Raise friendship levels! (1),110,146,40,,,Check the trophy for adjusting your difficulty level.,4 Recovery Potions,1C420B,Raise friendship levels! (1),,Request: Check Difficulty Lv!,TRUE
Get an Airship License!,Complete Raise friendship levels! (1),,,,,,Check the order symbol and take the test to order your airship license.,The exchange coin feature will become available at Arthur's store.,1C420C,Raise friendship levels! (1),,,TRUE
Get a Cooking Table!,Complete Get an Airship License!,,,,,,Speak to Porcoline about getting a Cooking Table.,Cooking Bread,1C420D,Get an Airship License!,,,TRUE
Start Cooking!,Get a Cooking Table!,28,144,80,,,Prepare a dish.,Flour,1C420E,Get a Cooking Table!,,Request: Try Cooking!,TRUE
Get a Forge!,Complete Start Cooking!,,,,,Forging License,Get a forging license and purchase a forge from Bado.,Weapon Bread,1C420F,Start Cooking!,,,TRUE
Forge a weapon!,Complete Get a Forge!,30,145,1,,Forging License,Forge a weapon.,2 Bronze +  2 Iron,1C4210,Get a Forge!,,Request: Forge a Weapon!,TRUE
Make a farming tool!,Complete Forge a weapon!,31,146,2,,Forging License,Use the forge to make a farming tool.,Farming Bread,1C4211,Forge a weapon!,,Request: Forge a Farm Tool!,TRUE
Get a Crafting Table!,Complete Make a farming tool!,,,,,Crafting License,Get a crafting license and speak to Bado to purchase a Crafting Table.,Crafting Bread,1C4212,Make a farming tool!,,,TRUE
